LineItem,Parent,GrandParent
Exchange Differences,TOTAL OTHER EXPENSES,TOTAL OTHER EXPENSES
Cost of Goods-Caviar Commission,TOTAL COST OF GOODS SOLD,COST OF GOODS SOLD
Inventory Asset,Total Wages - F.O.H. Salaried,STAFF COST
Cleaning Supplies,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Commercial Rent Tax,OCCUPANCY,OCCUPANCY
"New Furniture, Equip & Upgrades",Furniture and Fixtures,GENERAL & ADMIN EXPENSES
Staff Workmans Comp,STAFF INSURANCE,STAFF COST
Occupancy,OCCUPANCY,OCCUPANCY
BOH Incentive Plan,Total Wages - F.O.H. Salaried,TOTAL STAFF COST
Liquor Attorney,Cost of Sales - Liquor,Cost of Sales - Liquor
Restaurant,Restaurant,SUPPLIES & MAINTENANCE
Loans Payable,Interest on Loans,OTHER FINANCIAL COSTS
Gas,OCCUPANCY,OCCUPANCY
PPP Payroll Expense,TOTAL STAFF COST,STAFF COST
Tangible Property Taxes Payable,Other Expense,Total Other Expense
PPP Telephone,TOTAL TELECOMMUNICATION COST,CONTROLLABLES
La Molina Holdings LLC,Other Expenses,Other Expenses
ERIK RAMIREZ,Total Wages - F.O.H. Salaried,STAFF COST
Cost of Sales - Beer,COST OF GOODS SOLD,COST OF GOODS SOLD
Prep Cook & Expeditor,Total Wages - F.O.H. Wages,STAFF COST
Hostess,Total Wages - F.O.H. Hourly,Total Wages - F.O.H. Hourly
Dividend Disbursement,Other Income & Expenses,Total Other Income
Credit Card Charges,FINANCIAL COST,FINANCIAL COST
Staff Welfare,OTHER STAFF COST,OTHER STAFF COST
Bank - 9786,Bank Interest,TOTAL FINANCIAL COST
Chase - Payroll 1253,Total Wages - F.O.H. Wages,TOTAL STAFF COST
Loan 1,Interest on Loans,FINANCIAL COST
Accounts Payable - GBP,Other Expense,Other Expense
Interest Paid on Loans,TOTAL FINANCIAL COST,FINANCIAL COST
Rent,OCCUPANCY,OCCUPANCY
Medicare,Employer Taxes,STAFF COST
PaperChase Fees,TOTAL FINANCIAL COST,TOTAL FINANCIAL COST
Rounding Differences,Other Income & Expenses,Other Income & Expenses
Sales Tax Expense,TOTAL FINANCIAL COST,TOTAL FINANCIAL COST
Child Support,Other Expenses,Total Other Expense
Liquor - Stock Adjustment,Cost of Sales - Liquor,Cost of Sales - Liquor
Charcoal,Cost of Sales - Food,COST OF GOODS SOLD
Petty Cash Control,Other Expenses,Other Expense
NY Paid Family Leave,OTHER STAFF COST,OTHER STAFF COST
Other Revenue-Resy Fee,TOTAL REVENUE,REVENUE
"Food, Bussers & Servers",Cost of Sales - Food,TOTAL COST OF GOODS SOLD
Revenue - Retails,REVENUE,REVENUE
Accumulated Amortization,P & L Amortization - Other,Total Wages - F.O.H. Salaried
Clearing and Freight charges,TRAVEL & ENTERTAINMENT,TRAVEL & ENTERTAINMENT
OASDI,Total Employer Taxes,STAFF COST
Interest on Tax/Penalties,Interest on Tax/Penalties,G&A
Petty Cash Control Account,Other Expense,Other Expense
Water,OCCUPANCY,OCCUPANCY
Other Bev - Stock Adjustment,COG Other Beverages,COST OF GOODS SOLD
Suspense Account,Other Expense,Total Other Expense
Intangible Assets,Intangible Assets,Other Expenses
Management Fee,PROFESSIONAL FEE,PROFESSIONAL FEE
Audit Fees,PROFESSIONAL FEE,PROFESSIONAL FEE
Fuel Charges,Other Expenses,Total Other Expense
Accumulated Depreciation,P & L Depreciation & Amortization,TOTAL OTHER EXPENSE
Furniture and Fixtures,Furniture and Fixtures,Other Expenses
PPP - GAS,TOTAL OTHER EXPENSES,TOTAL OTHER STAFF COST
Beer Inventory,Cost of Sales - Beer,Cost of Sales - Liquor
PPP - Electricity,TOTAL UTILITIES,OCCUPANCY
Entertainment Meals,ADVERTISING/PROMOTION,ADVERTISING/PROMOTION
3,TOTAL OPERATING EXPENSES,TOTAL OPERATING EXPENSES
Other Bev Purchases,COG Other Beverages,COST OF GOODS SOLD
Write Off,Other Income & Expenses,Other Income & Expenses
Royalties Payable,Other Expenses,Other Expense
2017 Wages Adjustment,Total Wages - F.O.H. Salaried,STAFF COST
Cleaning Crew,TOTAL SUPPLIES & CLEANING,TOTAL SUPPLIES & CLEANING
IC Llama San LLC,Other Expenses,Other Expense
Organizational Costs,Pre-Opening Expenses,TOTAL PRE OPENING EXPENSES
Cleaning,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Sales Orders,Total Wages - F.O.H. Wages,STAFF COST
Paper Supplies,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Retail Inventory,Total Wages - F.O.H. Wages,STAFF COST
5,TOTAL STAFF COST,STAFF COST
Tangible Property Taxes,FINANCIAL COST,FINANCIAL COST
*Undeposited Funds,Other Income & Expenses,TOTAL OTHER INCOME
Liquor Discounts,Cost of Sales - Liquor,Cost of Sales - Liquor
Other Expenses,Other Expenses,Other Expenses
Voluntary Disabitlity,OTHER EXPENSES,Total Other Expense
Retained Earnings / (Deficit),Total Wages - F.O.H. Salaried,TOTAL STAFF COST
Bank Interest,Bank Interest,Bank Interest
Wages - Training,Total Wages - F.O.H. Salaried,STAFF COST
Provisions for HRA Funding,Other Expenses,Other Expense
Account Receivable A/C,Other Income & Expenses,Other Income & Expenses
Staff Insurance,OTHER STAFF COST,OTHER STAFF COST
IC Llama Inn Madrid,Total Wages - F.O.H. Wages,STAFF COST
Deferred Liabilities,Other Expense,Total Other Expense
Other Beverages Inventory,Total Cost of Sales - Other Beverages,COST OF GOODS SOLD
Staff Meals,OTHER STAFF COST,OTHER STAFF COST
Security Services,OCCUPANCY,OCCUPANCY
Bookkeeping Services (Pchase),TOTAL FINANCIAL COST,TOTAL FINANCIAL COST
Federal FUTA,TOTAL STAFF COST,STAFF COST
Wages - F.O.H. Line Labor,TOTAL STAFF COST,TOTAL STAFF COST
A/R Control A/c,Total Wages - F.O.H. Salaried,STAFF COST
Wine Purchases,Total Cost of Sales - Wine,COST OF GOODS SOLD
Vision,Total Employer Benefits,STAFF COST
POS,GENERAL & ADMINISTRATIVE,GENERAL & ADMINISTRATIVE
IT Cost,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Deposits,Total Wages - F.O.H. Wages,STAFF COST
Summer Long Purchase,Total Wages - F.O.H. Salaried,STAFF COST
Ny MTAI,Total Employer Taxes,STAFF COST
Bank Charges,FINANCIAL COST,FINANCIAL COST
Leasehold,Leasehold,Other Expenses
Menus,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Chase Operating Bank - 7653,Total Wages - F.O.H. Salaried,STAFF COST
Investment to Deli Llama,TOTAL OTHER EXPENSES,TOTAL OTHER EXPENSES
Beer Purchases,Cost of Sales - Beer,Cost of Sales - Beer
Deposit - Rent,Rent,OCCUPANCY
Suspense Acc. - Bank Acc 7653,Other Expense,Other Expense
Financial Cost,TOTAL FINANCIAL COSTS,TOTAL FINANCIAL COSTS
Kitchen Consultant,Professional and Consutlng,TOTAL PROFESSIONAL FEES
Sales Ledger Control A/C -Event,REVENUE,REVENUE
Dishwasher,Wages - B.O.H.,STAFF COST
IC LLAMA MIAMI,TOTAL REVENUE,REVENUE
Corporation Tax Payable,Taxes & Permits,Other Expense
Sales Tax Payable,Sales Tax 2015,TOTAL OTHER EXPENSE
Wages - B.O.H.  Line Labor,TOTAL STAFF COST,TOTAL STAFF COST
Maintenance Contracts,TOTAL REPAIRS & MAINTENANCE,TOTAL REPAIRS & MAINTENANCE
Consulting Fees,PROFESSIONAL FEE,PROFESSIONAL FEE
Auto Chlor,SUPPLIES & MAINTENANCE,CONTROLLABLES
IC La Molina Holdings,Other Expenses,Total Other Expense
Payroll Expenses,TOTAL STAFF COST,STAFF COST
Staff Wages,Total Wages - F.O.H. Salaried,STAFF COST
Advertising/Promotion,TOTAL ADVERTISING AND MARKETING,TOTAL OTHER STAFF COST
Supplies & Maintenance,TOTAL SUPPLIES & MAINTENANCE,TOTAL STAFF COST
Repairs & Maintenance,TOTAL REPAIRS & MAINTENANCE,TOTAL REPAIRS & MAINTENANCE
Financial Cost,FINANCIAL COST,FINANCIAL COST
Accumulated Amortization,P & L Amortization - Other,TOTAL OTHER STAFF COST
Accumulated Depreciation,PL Depreciation & Amortization,TOTAL OTHER EXPENSE
Accumulated Depreciation,PL Depreciation & Amortization,TOTAL OTHER STAFF COST
Accumulated Depreciation,PL Depreciation & Amortization,Total Other Expense
Accumulated Depreciation,P & L Depreciation & Amortization,TOTAL OTHER STAFF COST
Office,Office Supplies,SUPPLIES AND MAINTENANCE
1,TOTAL OTHER EXPENSES,TOTAL OTHER STAFF COST
1,TOTAL STAFF COST,STAFF COST
2,TOTAL STAFF COST,STAFF COST
2,TOTAL REVENUE,REVENUE
"""Food",TOTAL COST OF GOODS SOLD,"Bussers & Servers"""
"""Hood",CONTROLLABLES,"Grease Traps & Beer Lines"""
"""Landscape",SUPPLIES & MAINTENANCE,"Flowers & Candles"""
"""New Furniture",GENERAL & ADMIN EXPENSES,"Equip & Upgrades"""
PPP - GAS,Total Wages - F.O.H. Salaried,STAFF COST
