LineItem,GrandParent,Parent
Paper Supplies,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
Office Supplies/Stationery,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
Repairs General,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
Repairs Equipment,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
BOH Supplies & Accessories,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
FOH Supplies & Accessories,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
Packaging Supplies,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
China,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
Glassware,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
Silverware,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
Menus,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
Cleaning Supplies,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
Flowers & Candles,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
Equipment Rental,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
Office Supplies/Stationery,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
Trash/Waste Removal Service,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
Pest Control,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
IT Cost,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
Postage & Courier,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
Music,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
Professional Fee - Other,PROFESSIONAL FEES,PROFESSIONAL FEES
Legal Fee,PROFESSIONAL FEES,PROFESSIONAL FEES
Audit Fee,PROFESSIONAL FEES,PROFESSIONAL FEES
Tax Fee,PROFESSIONAL FEES,PROFESSIONAL FEES
Professional Fee,PROFESSIONAL FEES,PROFESSIONAL FEES
Accounting Fee,PROFESSIONAL FEES,PROFESSIONAL FEES
Consulting Fee,PROFESSIONAL FEES,PROFESSIONAL FEES
Bookkeeping Fees,PROFESSIONAL FEES,PROFESSIONAL FEES
Guaranteed Payments,PROFESSIONAL CHARGES,PROFESSIONAL CHARGES
Other Financial Costs - Other,OTHER FINANCIAL COSTS,OTHER FINANCIAL COSTS
Payroll Processing Charges,OTHER FINANCIAL COSTS,OTHER FINANCIAL COSTS
Credit Card Charges,OTHER FINANCIAL COSTS,OTHER FINANCIAL COSTS
Bank Carges,OTHER FINANCIAL COSTS,OTHER FINANCIAL COSTS
Donations,OTHER FINANCIAL COSTS,OTHER FINANCIAL COSTS
Royalties,OTHER FINANCIAL COSTS,OTHER FINANCIAL COSTS
Tangible Property Taxes,OTHER FINANCIAL COSTS,OTHER FINANCIAL COSTS
Penalties,OTHER FINANCIAL COSTS,OTHER FINANCIAL COSTS
"License, Permits & Filling Fees",OTHER FINANCIAL COSTS,OTHER FINANCIAL COSTS
Sales and Use Tax,OTHER FINANCIAL COSTS,OTHER FINANCIAL COSTS
Tip Expenses,OTHER FINANCIAL COSTS,OTHER FINANCIAL COSTS
Finance Charges,OTHER FINANCIAL COSTS,OTHER FINANCIAL COSTS
Umbrella Insurance,OTHER FINANCIAL COSTS,OTHER FINANCIAL COSTS
Liability Insurance,OTHER FINANCIAL COSTS,OTHER FINANCIAL COSTS
Property Insurance,OTHER FINANCIAL COSTS,OTHER FINANCIAL COSTS
Utilities - Other,UTILITIES,UTILITIES
Electricity,UTILITIES,UTILITIES
Gas,UTILITIES,UTILITIES
Water,UTILITIES,UTILITIES
Security And Alarm,UTILITIES,UTILITIES
Telephone,UTILITIES,UTILITIES
Internet/Email,UTILITIES,UTILITIES
Occupancy Costs - Other,OCCUPANCY COST,OCCUPANCY COST
Rent,OCCUPANCY COST,OCCUPANCY COST
Percentage Rent,OCCUPANCY COST,OCCUPANCY COST
CAM Charges,OCCUPANCY COST,OCCUPANCY COST
Real Estate Escalation Tax,OCCUPANCY COST,OCCUPANCY COST
Storage Rent,OCCUPANCY COST,OCCUPANCY COST
Commercial Rent Tax,OCCUPANCY COST,OCCUPANCY COST
Personal/Tangible Property Tax,OCCUPANCY COST,OCCUPANCY COST
Uncategorized Exp/Ask My Acc,OTHER FINANCIAL COSTS,OTHER FINANCIAL COSTS
Sales Adjustments - Other,Other Expenses,Other Expenses
Other Income - Other,Other Income,Other Income
Interest Income,Other Income,Other Income
Other Income,Other Income,Other Income
Event Income,Other Income,Other Income
Total Beverages,COST OF GOODS SOLD,Total Beverages
Interest Expense - Other,Other Expenses,Other Expenses
Interest Paid on Loans - 1,Other Expenses,Other Expenses
Interest Paid on Loans - 2,Other Expenses,Other Expenses
Interest on Tax/Penalties,Other Expenses,Other Expenses
Corporate Tax Expense,OTHER FINANCIAL COSTS,OTHER FINANCIAL COSTS
Depreciation Expense,Other Expenses,Other Expenses
Amortization Expense,Other Expenses,Other Expenses
Pre-opening Costs,Other Expenses,Other Expenses
Other Expenses - Other,Other Expenses,Other Expenses
Exchange Differences,Other Expenses,Other Expenses
Rounding Differences,Other Expenses,Other Expenses
TOTAL OCCUPANCY,TOTAL OCCUPANCY,TOTAL OCCUPANCY
Revenue - Food,REVENUE,Revenue - Food
COS Wines,COST OF GOODS SOLD,COS Wines
COS Beer,COST OF GOODS SOLD,COS Beer
COS Beverages,COST OF GOODS SOLD,COS Beverages
Revenue - Wines,REVENUE,Revenue - Wines
COST OF GOODS SOLD,COST OF GOODS SOLD,COST OF GOODS SOLD
Gross Profit - Food,GROSS PROFIT,Gross Profit - Food
Gross Profit - Wine,GROSS PROFIT,Gross Profit - Wine
Gross Profit - Catering,GROSS PROFIT,Gross Profit - Catering
Gross Profit - Liquor,GROSS PROFIT,Gross Profit - Liquor
Gross Profit - Beer,GROSS PROFIT,Gross Profit - Beer
Gross Profit Coffee,GROSS PROFIT,Gross Profit Coffee
Gross Profit - Other Bev,GROSS PROFIT,Gross Profit - Other Bev
Revenue - Catering,REVENUE,Revenue - Catering
Gross Profit - Retails,GROSS PROFIT,Gross Profit - Retails
Revenue - Food,REVENUE,Revenue - Food
Revenue - Food,REVENUE,Revenue - Food
Revenue - Food,REVENUE,Revenue - Food
Revenue - Food,REVENUE,Revenue - Food
Revenue - Food,REVENUE,Revenue - Food
Revenue - Tea/Coffee,REVENUE,Revenue - Tea/Coffee
Revenue - Tea/Coffee,REVENUE,Revenue - Tea/Coffee
Revenue - Tea/Coffee,REVENUE,Revenue - Tea/Coffee
Revenue - Tea/Coffee,REVENUE,Revenue - Tea/Coffee
Revenue - Tea/Coffee,REVENUE,Revenue - Tea/Coffee
Revenue - Wines,REVENUE,Revenue - Wines
Revenue - Wines,REVENUE,Revenue - Wines
Revenue - Wines,REVENUE,Revenue - Wines
Revenue - Wines,REVENUE,Revenue - Wines
Revenue - Wines,REVENUE,Revenue - Wines
Revenue - Liquor,REVENUE,Revenue - Liquor
Revenue - Beer,REVENUE,Revenue - Beer
Revenue - Beer,REVENUE,Revenue - Beer
Revenue - Beer,REVENUE,Revenue - Beer
Revenue - Beer,REVENUE,Revenue - Beer
Revenue - Beer,REVENUE,Revenue - Beer
Revenue - Other Beverages,REVENUE,Revenue - Other Beverages
Revenue - Other Beverages,REVENUE,Revenue - Other Beverages
Revenue - Other Beverages,REVENUE,Revenue - Other Beverages
Revenue - Other Beverages,REVENUE,Revenue - Other Beverages
Revenue - Other Beverages,REVENUE,Revenue - Other Beverages
Revenue - Fees,REVENUE,Revenue - Fees
Revenue - Retails,REVENUE,Revenue - Retails
Revenue - Retails,REVENUE,Revenue - Retails
Revenue - Others,REVENUE,Revenue - Others
Revenue - Catering,REVENUE,Revenue - Catering
Revenue - Catering,REVENUE,Revenue - Catering
Revenue - Admin Fees,REVENUE,Revenue - Admin Fees
Employee Wellness Fee,REVENUE,Employee Wellness Fee
Italy trip Income,REVENUE,Italy trip Income
House Tips,REVENUE,House Tips
5% Service Charges,REVENUE,5% Service Charges
Gross Profit - Others,GROSS PROFIT,Gross Profit - Others
GROSS PROFIT,GROSS PROFIT,GROSS PROFIT
TOTAL STAFF COST,STAFF COST,TOTAL STAFF COST
 OTHER STAFF COST,OTHER STAFF COST, OTHER STAFF COST
Revenue - Beer,REVENUE,Revenue - Beer
Complimentary Cost,ADVERTISING / PROMOTION,Complimentary Cost
ADVERTISING / PROMOTION,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
COS Food,COST OF GOODS SOLD,COS Food
COS Food,COST OF GOODS SOLD,COS Food
COS Food,COST OF GOODS SOLD,COS Food
COS Food,COST OF GOODS SOLD,COS Food
COS Tea/Coffee,COST OF GOODS SOLD,COS Tea/Coffee
COS Tea/Coffee,COST OF GOODS SOLD,COS Tea/Coffee
TOTAL TRAVEL & ENTERTAINMENT,TOTAL TRAVEL & ENTERTAINMENT,TOTAL TRAVEL & ENTERTAINMENT
COS  Restaurant Wine,COST OF GOODS SOLD,COS  Restaurant Wine
COS  Restaurant Wine,COST OF GOODS SOLD,COS  Restaurant Wine
COS  Market Wine,COST OF GOODS SOLD,COS  Market Wine
COS  Market Wine,COST OF GOODS SOLD,COS  Market Wine
COS Liquor,COST OF GOODS SOLD,COS Liquor
COS Liquor,COST OF GOODS SOLD,COS Liquor
TOTAL COMMUNICATION,TOTAL COMMUNICATION,TOTAL COMMUNICATION
COS  Restaurant Beer,COST OF GOODS SOLD,COS  Restaurant Beer
COS  Restaurant Beer,COST OF GOODS SOLD,COS  Restaurant Beer
COS  Market Beer,COST OF GOODS SOLD,COS  Market Beer
COS  Market Beer,COST OF GOODS SOLD,COS  Market Beer
COS Other Bev,COST OF GOODS SOLD,COS Other Bev
COS Other Bev,COST OF GOODS SOLD,COS Other Bev
COS Other Bev,COST OF GOODS SOLD,COS Other Bev
TOTAL SUPPLIES & MAINTENANCE,TOTAL SUPPLIES & MAINTENANCE,TOTAL SUPPLIES & MAINTENANCE
COS Retails,COST OF GOODS SOLD,COS Retails
TOTAL REPAIRS & MAINTENANCE,TOTAL REPAIRS & MAINTENANCE,TOTAL REPAIRS & MAINTENANCE
COS Others,COST OF GOODS SOLD,COS Others
COS Others,COST OF GOODS SOLD,COS Others
TOTAL FINANCIAL COST,TOTAL FINANCIAL COST,TOTAL FINANCIAL COST
TOTAL OPERATING EXPENSES,TOTAL OPERATING EXPENSES,TOTAL OPERATING EXPENSES
Transfer From/To  Piccolina,Transfer From/To  Piccolina,Transfer From/To  Piccolina
EBITDA,EBITDA,EBITDA
COS Wood Expenses,COST OF GOODS SOLD,COS Wood Expenses
INTEREST & OTHER EXPENSES,INTEREST & OTHER EXPENSES,INTEREST & OTHER EXPENSES
Revenue - Tea/Coffee,REVENUE,Revenue - Tea/Coffee
PROFIT BEFORE TAX & DEPRECIATION,PROFIT BEFORE TAX & DEPRECIATION,PROFIT BEFORE TAX & DEPRECIATION
NET PROFIT/(LOSS),NET PROFIT/(LOSS),NET PROFIT/(LOSS)
Revenue - Other Beverages,REVENUE,Revenue - Other Beverages
Wages - F.O.H.,STAFF COST,Wages - F.O.H.
Wages - F.O.H.,STAFF COST,Wages - F.O.H.
Wages - F.O.H.,STAFF COST,Wages - F.O.H.
Wages - F.O.H.,STAFF COST,Wages - F.O.H.
Wages - F.O.H.,STAFF COST,Wages - F.O.H.
Wages - F.O.H.,STAFF COST,Wages - F.O.H.
Wages - F.O.H.,STAFF COST,Wages - F.O.H.
Wages - F.O.H.,STAFF COST,Wages - F.O.H.
Wages - F.O.H.,STAFF COST,Wages - F.O.H.
Wages - B.O.H.,STAFF COST,Wages - B.O.H.
Wages - B.O.H.,STAFF COST,Wages - B.O.H.
Wages - F.O.H.,STAFF COST,Wages - F.O.H.
Wages - B.O.H.,STAFF COST,Wages - B.O.H.
Wages - B.O.H.,STAFF COST,Wages - B.O.H.
Wages - B.O.H.,STAFF COST,Wages - B.O.H.
Wages - B.O.H.,STAFF COST,Wages - B.O.H.
Wages - B.O.H.,STAFF COST,Wages - B.O.H.
Wages - B.O.H.,STAFF COST,Wages - B.O.H.
Wages - B.O.H.,STAFF COST,Wages - B.O.H.
Wages - B.O.H.,STAFF COST,Wages - B.O.H.
Wages - F.O.H.,STAFF COST,Wages - F.O.H.
Wages - B.O.H.,STAFF COST,Wages - B.O.H.
Wages - B.O.H.,STAFF COST,Wages - B.O.H.
Wages - F.O.H.,STAFF COST,Wages - F.O.H.
Wages - Bonuses,STAFF COST,Wages - Bonuses
 Salaries - Owners,STAFF COST, Salaries - Owners
Guaranteed Payments,STAFF COST,Guaranteed Payments
Wages - Tips,STAFF COST,Wages - Tips
Wages - 1099,STAFF COST,Wages - 1099
Other - Wages,STAFF COST,Other - Wages
Employer Taxes,STAFF COST,Employer Taxes
Employer Taxes,STAFF COST,Employer Taxes
Employer Taxes,STAFF COST,Employer Taxes
Employer Taxes,STAFF COST,Employer Taxes
Employer Taxes,STAFF COST,Employer Taxes
Staff Insurance,OTHER STAFF COST,Staff Insurance
Staff Insurance,OTHER STAFF COST,Staff Insurance
Staff Insurance,OTHER STAFF COST,Staff Insurance
Staff Insurance,OTHER STAFF COST,Staff Insurance
Staff Insurance,OTHER STAFF COST,Staff Insurance
Staff Insurance,OTHER STAFF COST,Staff Insurance
Staff Recruitment,OTHER STAFF COST,Staff Recruitment
Staff Training,OTHER STAFF COST,Staff Training
Staff Uniforms,OTHER STAFF COST,Staff Uniforms
Staff Welfare,OTHER STAFF COST,Staff Welfare
Employee Benefits,OTHER STAFF COST,Employee Benefits
Employee Benefits,OTHER STAFF COST,Employee Benefits
Employee Benefits,OTHER STAFF COST,Employee Benefits
Staff First Aid,OTHER STAFF COST,Staff First Aid
Advertising,ADVERTISING / PROMOTION,TOTAL PROMOTION
Advertising,ADVERTISING / PROMOTION,TOTAL PROMOTION
Advertising,ADVERTISING / PROMOTION,TOTAL PROMOTION
Public Relations,ADVERTISING / PROMOTION,TOTAL PROMOTION
Web Design & Maintenance,ADVERTISING / PROMOTION,TOTAL PROMOTION
Branding & Design,ADVERTISING / PROMOTION,TOTAL PROMOTION
R & D,ADVERTISING / PROMOTION,TOTAL PROMOTION
Event Expenses,ADVERTISING / PROMOTION,TOTAL PROMOTION
Commission Expense,ADVERTISING / PROMOTION,TOTAL PROMOTION
Car Lease Expense,ADVERTISING / PROMOTION,TOTAL PROMOTION
Subscriptions,ADVERTISING / PROMOTION,TOTAL PROMOTION
Photography Expense,ADVERTISING / PROMOTION,TOTAL PROMOTION
Complimentary Cost,ADVERTISING / PROMOTION,Complimentary Cost
Complimentary Cost,ADVERTISING / PROMOTION,Complimentary Cost
Complimentary Cost,ADVERTISING / PROMOTION,Complimentary Cost
Security and Alarm,OCCUPANCY,OCCUPANCY
Interior Design,ADVERTISING / PROMOTION,TOTAL PROMOTION
Travel Cost,TRAVEL & ENTERTAINMENT,TRAVEL & ENTERTAINMENT
Entertainment Meals,TRAVEL & ENTERTAINMENT,TRAVEL & ENTERTAINMENT
Lodging,TRAVEL & ENTERTAINMENT,TRAVEL & ENTERTAINMENT
Parking Charges,TRAVEL & ENTERTAINMENT,TRAVEL & ENTERTAINMENT
Telephone,COMMUNICATION,COMMUNICATION
Postage,COMMUNICATION,COMMUNICATION
Courier,COMMUNICATION,COMMUNICATION
Linen & Laundry,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Cleaning,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Pest Control,OCCUPANCY,OCCUPANCY
Cleaning Services,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Kitchen Accessories,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Wood Expenses,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Restaurant,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
"China, Glass, Silverware",SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Barware,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Music,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
"Landscape, Flowers & Candles",SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Office Supplies/Stationery,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Printing Expense,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
