LineItem,Parent,GrandParent
Bank-3,Bank Interest,TOTAL FINANCIAL COST
Revenue - Bakery,REVENUE,REVENUE
Retail Purchases,Total Cost of Sales - Retails,COST OF GOODS SOLD
Legal Fees,PROFESSIONAL FEE,PROFESSIONAL FEE
Occupancy Costs,OCCUPANCY,OCCUPANCY
IT,TOTAL OTHER EXPENSES,TOTAL OTHER EXPENSES
Supplies & Maintenance,TOTAL SUPPLIES & MAINTENANCE,TOTAL OTHER STAFF COST
Revenue - Food,REVENUE,REVENUE
Consulting Fees,PROFESSIONAL FEE,PROFESSIONAL FEE
Corporate Tax Expense,FINANCIAL COST,FINANCIAL COST
Champagne - Stock Adjustment,Total Cost of Sales - Champagne,COST OF GOODS SOLD
Property Insurance,INSURANCE EXPENSES,INSURANCE EXPENSES
Retained Earnings / (Deficit),Total Other Expenses,TOTAL OTHER STAFF COST
Chase Bank # 3103,Total Other Expense,Other Expense
Cost of Sales - Other Bev,COST OF GOODS SOLD,COST OF GOODS SOLD
Employee Benefits,OTHER STAFF COST,OTHER STAFF COST
Valet Parking - Guest,TRAVEL & ENTERTAINMENT,TRAVEL & ENTERTAINMENT
Suspense Account - Creditors,Other Expenses,TOTAL OTHER STAFF COST
Staff Recruitment,OTHER STAFF COST,OTHER STAFF COST
Wages - Bonus BOH,BOH SALARIES,TOTAL STAFF COST
Security Deposits,Total Wages - F.O.H. Management,STAFF COST
Wages - Bonus FOH,TOTAL FOH SALARIES,TOTAL STAFF COST
Tea/Coffee Purchases,Cost of Sales - Tea/Coffee,Cost of Sales - Tea/Coffee
Water,OCCUPANCY,OCCUPANCY
Suspense Account - Bank,Total Other Expenses,TOTAL OTHER STAFF COST
5,Total Revenue Delievery,REVENUE
Restaurant,Restaurant,SUPPLIES & MAINTENANCE
Labor Cost,TOTAL STAFF COST,STAFF COST
Federal FUTA,TOTAL STAFF COST,STAFF COST
Uncategorized Expenses,FINANCIAL COST,FINANCIAL COST
Payroll Tax Payable,Employer Taxes,Total Employer Taxes
Interest Paid on Loans - 1,Other Income & Expenses,Other Income & Expenses
Opening Balance Equity,Total Uncategorized,TOTAL OTHER STAFF COST
Insurance Expense,FINANCIAL COST,FINANCIAL COST
Music,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Digital Sales - Adjustments,REVENUE,REVENUE
PTET-NYS- Advance Tax,Income Taxes,TOTAL OTHER FINANCIAL COST
4,TOTAL PRE OPENING EXPENSES,TOTAL PRE OPENING EXPENSES
Occupancy,OCCUPANCY,OCCUPANCY COST
Interior Design,TOTAL PROMOTION,ADVERTISING / PROMOTION
IT Cost,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
2,TOTAL OTHER EXPENSE,TOTAL OTHER FINANCIAL COST
Bank Transfer A/C,Total Other Income,TOTAL OTHER STAFF COST
Meat Cost,TOTAL FOOD,TOTAL FOOD
Inter-Company - Sag Harbor,Total Uncategorized,TOTAL OTHER STAFF COST
Wage Cost,TOTAL STAFF COST,STAFF COST
Chinaware,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Fees,Fees,P&L AMORTIZATION
Liquor Purchases,COG Liquor,COST OF GOODS SOLD
Staff Accommodation/Relocation,OTHER STAFF COST,OTHER STAFF COST
Staff Wages,Total Wages - F.O.H.,STAFF COST
Leasehold,Leasehold,Other Expenses
Interest Paid on Loans - 2,Other Expenses,Other Expenses
Code & Expeditor,Total Wages - F.O.H. Management,STAFF COST
Ask My Accountant,Ask My Accountant,Ask My Accountant
Taxi Charges & Local Travel,TRAVEL & ENTERTAINMENT,TRAVEL & ENTERTAINMENT
Cyber Liability Insurance,INSURANCE EXPENSES,TOTAL OTHER EXPENSES
Ice Cream Cost,TOTAL FOOD,TOTAL FOOD
Acoustical,Other Expenses,Other Expenses
Financial Cost,TOTAL FINANCIAL COST,TOTAL OTHER FINANCIAL COST
Petty Cash Control,Office Supplies/Stationery,GENERAL & ADMINISTRATIVE
3,TOTAL OTHER FINANCIAL COST,TOTAL OTHER FINANCIAL COST
Executive Chef,Wages - B.O.H.,STAFF COST
Wages - B.O.H. Salaried,Wages - B.O.H. Salaried,STAFF COST
Financial Costs,TOTAL FINANCIAL COST,TOTAL OTHER FINANCIAL COST
Revenue - Tea/Coffee,REVENUE,REVENUE
Start-Up Costs,Start-Up Costs,Other Expenses
Accounts Payable - GBP,GENERAL & ADMINISTRATIVE,TOTAL GENERAL & ADMIN EXPENSES
Lodging,TRAVEL & ENTERTAINMENT,TRAVEL & ENTERTAINMENT
Lighting Consultant,Total Professional Fees,TOTAL PROFESSIONAL FEES
Corporate Tax Payable,Income Taxes,TOTAL OTHER STAFF COST
Office Supplies/Stationery,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Paperchase Control Account,Other Expenses,Other Expenses
6,TOTAL OTHER STAFF COST,TOTAL STAFF COST
Retained Earnings,Total Wages - F.O.H. Salaries,TOTAL STAFF COST
Professional Charges,TOTAL PROFESSIONAL CHARGES,TOTAL OTHER FINANCIAL COST
Revenue - Champagne,REVENUE,REVENUE
Porter,Total Wages - B.O.H. Hourly,Total Wages - B.O.H. Hourly
Amortization Expense,P & L Depreciation & Amortization,P & L Depreciation & Amortization
Seafood Cost,TOTAL FOOD,TOTAL FOOD
Hostess,Total Wages - F.O.H. Hourly,Total Wages - F.O.H. Hourly
Exchange Differences,TOTAL OTHER EXPENSES,TOTAL OTHER EXPENSES
Loans Payable,Total Other Expenses,TOTAL OTHER STAFF COST
Revenue - Other Beverages,TOTAL REVENUE,REVENUE
Food Inventory,Cost of Sales - Food,COST OF GOODS SOLD
Prepaid Insurance,STAFF INSURANCE,TOTAL STAFF INSURANCE
Tangible Property Taxes Payable,Legal & Accounting,G&A
Late Payment Charges,TOTAL FINANCIAL COSTS,TOTAL FINANCIAL COSTS
Repairs - Building,REPAIRS & MAINTENANCE,REPAIRS & MAINTENANCE
Donations,FINANCIAL COST,FINANCIAL COST
Architect,Professional and Consulting,TOTAL PROFESSIONAL FEES
Revenue - Wines,REVENUE,REVENUE
Bank Charges,FINANCIAL COST,FINANCIAL COST
Long Term Debt,Net Reduction of Debt,TOTAL OTHER FINANCIAL COST
BOH,TOTAL STAFF COST,STAFF COST
Coffee Cost,Cost of Sales - Tea/Coffee,TOTAL COST OF GOODS SOLD
Tips Payable,Wages - Tips,TOTAL STAFF COST
Advertising/Promotion,ADVERTISING AND PROMOTION,TOTAL ADVERTISING AND MARKETING
Staff First Aid,OTHER STAFF COST,OTHER STAFF COST
Sales Tax Payable,Sales Tax,FINANCIAL COST
Members Equity,Total Wages - B.O.H. Salaried,STAFF COST
Tea/Coffee - Stock Adjustment,Cost of Sales - Tea/Coffee,Cost of Sales - Tea/Coffee
Bartender,Wages - F.O.H,STAFF COST
Structural Engineer,Professional and Consutlng,TOTAL PROFESSIONAL COST
Rounding Differences,Other Income & Expenses,Other Income & Expenses
Wages - Agency,OTHER STAFF COST,OTHER STAFF COST
OASDI,Total Employer Taxes,STAFF COST
Commercial Rent Tax,OCCUPANCY,OCCUPANCY
Office,Office Supplies/Stationery,TOTAL OPERATING EXPENSES
EPLI Insurance,INSURANCE EXPENSES,INSURANCE EXPENSES
Wages - F.O.H. Salaried,Wages - F.O.H. Salaried,STAFF COST
Cost of Sales - Retails,COST OF GOODS SOLD,COST OF GOODS SOLD
Floor Manager,Total Wages - F.O.H. Salaried,Total Wages - F.O.H. Salaried
Bank-5,TOTAL FINANCIAL COST,TOTAL OTHER FINANCIAL COST
Kitchen Consultant,TOTAL PROFESSIONAL FEES,TOTAL OTHER FINANCIAL COST
"Landscape, Flowers & Candles",SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Accrued Insurance,STAFF INSURANCE,STAFF COST
Inter-Company - Southampton,TOTAL OTHER STAFF COST,TOTAL OTHER STAFF COST
Wages - 1099,OTHER STAFF COST,OTHER STAFF COST
Medicare,Employer Taxes,STAFF COST
General & Administrative,GENERAL & ADMINISTRATIVE,GrandParents
Auto Expense,TRAVEL & ENTERTAINMENT,TRAVEL & ENTERTAINMENT
Consulting Fee,Consulting Fee,STAFF COST
Cashier,Total Wages - F.O.H. Hourly,Total Wages - F.O.H. Hourly
Cost of Sales - Beer,COST OF GOODS SOLD,COST OF GOODS SOLD
Cost of Goods Sold,TOTAL COST OF GOODS SOLD,COST OF GOODS SOLD
Sales Tax Payable - Tourism,Sales Tax 2015,TOTAL OTHER STAFF COST
Staff Loans/Salary Advances,Total Wages - F.O.H. Salaried,STAFF COST
Cost of Sales - Champagne,COST OF GOODS SOLD,COST OF GOODS SOLD
Other Income,Other Income & Expenses,Other Income & Expenses
Workers Compensation Insurance,STAFF INSURANCE,STAFF COST
Other Expenses,Other Expenses,Other Expenses
Other Bev Purchases,COG Other Beverages,COST OF GOODS SOLD
Gianpaolo DeFelice,ADMINISTRATION,GENERAL & ADMINISTRATIVE
Wine Inventory,Cost of Sales - Wines,COST OF GOODS SOLD
NY-PFL,TOTAL OTHER STAFF COST,TOTAL OTHER STAFF COST
Net Wages Payable,Total Wages - F.O.H. Salaried,STAFF COST
Kitchen/Hood,Kitchen/Hood,Other Expenses
Accounts Payable - USD,Total Other Expenses,TOTAL OTHER STAFF COST
Cleaning Inventory,Supplies and Maintenance,TOTAL SUPPLIES & MAINTENANCE
License fee to Tutto Holding,TOTAL FINANCIAL COSTS,FINANCIAL COSTS
"""Landscape",SUPPLIES & MAINTENANCE,"Flowers & Candles"""
Beverage Manager,Total Wages - F.O.H. Salaried,Total Wages - F.O.H. Salaried
FOH Supplies & Accessories,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Staff Uniforms,OTHER STAFF COST,OTHER STAFF COST
Liability Insurance,INSURANCE EXPENSES,INSURANCE EXPENSES
Payroll Processing Charges,FINANCIAL COST,FINANCIAL COST
Repairs - General,REPAIRS & MAINTENANCE,REPAIRS & MAINTENANCE
Discounts,REVENUE,REVENUE
Staff Insurance,OTHER STAFF COST,OTHER STAFF COST
Receiving Clerk,Total Wages - B.O.H. Hourly,Total Wages - B.O.H. Hourly
Paperchase E-card- 1368,TOTAL ADVERTISING AND MARKETING,TOTAL OTHER FINANCIAL COST
Branding & Design,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Inventory,Total Cost of Goods Sold,TOTAL OTHER STAFF COST
Accrued Liabilities,Other Expenses,TOTAL OTHER STAFF COST
4,TOTAL OTHER STAFF COST,TOTAL OTHER STAFF COST
Chef de Cuisine,Total Wages - B.O.H. Salaried,Total Wages - B.O.H. Salaried
Deferred Liabilities,TOTAL OTHER FINANCIAL COST,TOTAL OTHER FINANCIAL COST
Event Expenses,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Accounting Fees,PROFESSIONAL FEE,PROFESSIONAL FEE
Flatware,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Beer - Stock Adjustment,Cost of Sales - Beer,Cost of Sales - Beer
Steward,Total Wages - B.O.H. Hourly,Total Wages - B.O.H. Hourly
Intercompany,Other Income & Expenses,TOTAL OTHER FINANCIAL COST
Machinery and Equipment,Machinery and Equipment,Other Expenses
Revenue,REVENUE,REVENUE
Embezzlement,TOTAL OTHER EXPENSES,TOTAL OTHER EXPENSES
Beer Inventory,Cost of Sales - Beer,Gross Profit - Beverages
Disability Payable,OTHER EMPLOYEE EXPENSES,TOTAL OTHER STAFF COST
Revenue - Retails,REVENUE,REVENUE
House Account,TOTAL REVENUE,REVENUE
Storage Rent,OCCUPANCY,OCCUPANCY
Cleaning Supplies,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Cleaning Contract Services,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Commission Expense,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Other Misc Income,Other Income,Other Income
Web Design & Maintenance,TRAVEL & ENTERTAINMENT,TRAVEL & ENTERTAINMENT
Revenue - Beer,TOTAL REVENUE,REVENUE
Dairy Cost,TOTAL FOOD,TOTAL FOOD
Other Staff Cost,TOTAL OTHER STAFF COST,TOTAL OTHER STAFF COST
Tea/Coffee Inventory,Cost of Sales - Tea/Coffee,TOTAL COST OF GOODS SOLD
Wages - B.O.H. Hourly - OT,Wages - B.O.H. Hourly - OT,STAFF COST
Busser,Total Wages - F.O.H. Hourly,Total Wages - F.O.H. Hourly
GM,Total Wages - F.O.H. Salaried,Total Wages - F.O.H. Salaried
1,TOTAL OTHER STAFF COST,TOTAL OTHER STAFF COST
Staff Welfare,OTHER STAFF COST,OTHER STAFF COST
Members Contri./(Distri.),TOTAL OTHER STAFF COST,TOTAL STAFF COST
Credit Card 31056,TOTAL OTHER EXPENSES,TOTAL OTHER FINANCIAL COST
Permits,"""License",TOTAL OTHER STAFF COST
Supplies and Maintenance,TOTAL SUPPLIES & MAINTENANCE,TOTAL SUPPLIES & MAINTENANCE
Credit Card Charges,FINANCIAL COST,FINANCIAL COST
Tip Expense,TOTAL SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Umbrella Insurance,INSURANCE EXPENSES,INSURANCE EXPENSES
Rent,OCCUPANCY,OCCUPANCY
Undeposited Funds,Total Other Income,TOTAL OTHER FINANCIAL COST
CAM Charges,OCCUPANCY,OCCUPANCY
Leasehold Improvement,Controllables - Other,TOTAL OTHER STAFF COST
Social Security,Total Employer Taxes,Total Employer Taxes
Child Support,TOTAL EMPLOYEE BENEFITS,STAFF COST
Leasehold Improvements,Leasehold Improvements,OTHER INCOME & EXPENSES
State SUI,TOTAL STAFF COST,STAFF COST
Advertising and Promotion,ADVERTISING AND PROMOTION,TOTAL ADVERTISING AND MARKETING
Prepaid Expenses,Total Other Expenses,TOTAL OTHER STAFF COST
Advertising,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Sous Chef,TOTAL STAFF COST,STAFF COST
Percentage Rent,OCCUPANCY,OCCUPANCY
Liquor - Stock Adjustment,Cost of Sales - Liquor,Cost of Sales - Liquor
Cyber Liability Insurance,INSURANCE EXPENSES,TOTAL OTHER STAFF COST
Initial Buildout,Furniture and Fixtures,Other Expenses
Receivable from Gianpaolo,Other Income & Expenses,TOTAL OTHER FINANCIAL COST
Security Deposit - Rent,Rent,OCCUPANCY
Packaging Supplies,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
R & D,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Interest on Tax/Penalties,Interest on Tax/Penalties,G&A
Liquor Tax Payable,Cost of Sales - Liquor,Gross Profit - Liquor & Beer
Interest Expense,Other Expenses,Other Expenses
Wages - F.O.H. Hourly,Wages - F.O.H. Hourly,STAFF COST
Occupancy,OCCUPANCY,TOTAL OTHER STAFF COST
Telephone,COMMUNICATION,COMMUNICATION
Travel and Entertainment,Travel and Entertainment,General & Admin Expen
Security and Alarm,OCCUPANCY,OCCUPANCY
Deposits for Future Events,Total Pre Opening Expenses,TOTAL OTHER STAFF COST
Employer Taxes,Employer Taxes,STAFF COST
Payroll Liabilities,Total Wages - F.O.H. Salaried,STAFF COST
Dishwasher,Wages - B.O.H.,STAFF COST
Cost of Sales - Liquor,COST OF GOODS SOLD,COST OF GOODS SOLD
Service Charge Payable Account,TOTAL SALES & MARKETING,TOTAL SALES & MARKETING
General & Admin Expenses,GENERAL & ADMIN EXPENSES,GENERAL & ADMIN EXPENSES
Clearing and Freight charges,TRAVEL & ENTERTAINMENT,TRAVEL & ENTERTAINMENT
Public Relations,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
A/R Control Account,Total Uncategorized,TOTAL OTHER STAFF COST
Bank-6,TOTAL FINANCIAL COST,TOTAL OTHER FINANCIAL COST
Royalties,FINANCIAL COST,FINANCIAL COST
David Mayer,Total Wages - F.O.H. Salaries,STAFF COST
Connect One - 9856,Total Wages - F.O.H. Salaried,STAFF COST
Wine - Stock Adjustment,Cost of Sales - Wines,Cost of Sales - Wines
Vision,Total Employer Benefits,STAFF COST
Comps,REVENUE,REVENUE
Payroll Misc Deductions,Total Wages - F.O.H. Salaried,STAFF COST
3,TOTAL OTHER STAFF COST,TOTAL STAFF COST
Photography expense,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Management Fees,TOTAL FINANCIAL COST,TOTAL FINANCIAL COST
Tobacco Inventory,Total Cost of Sales - Tobacco,COST OF GOODS SOLD
Tax Fees,PROFESSIONAL FEE,PROFESSIONAL FEE
Barback,Total Wages - F.O.H. Hourly,Total Wages - F.O.H. Hourly
Extra/Short Receipts,REVENUE,REVENUE
NY MTA,TOTAL EMPLOYER TAXES,EMPLOYER TAXES
Other Bev - Stock Adjustment,COG Other Beverages,COST OF GOODS SOLD
Bread Cost,TOTAL FOOD,TOTAL FOOD
Glassware,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Suspense Account - Debtors,Total Other Expense,TOTAL OTHER FINANCIAL COST
Cost of Sales - Food,COST OF GOODS SOLD,COST OF GOODS SOLD
Accumulated Depreciation,TOTAL OTHER STAFF COST,TOTAL OTHER STAFF COST
Initial Buildout,TOTAL PRE OPENING EXPENSES,TOTAL PRE OPENING EXPENSES
"""Licenses",OTHER FINANCIAL COST,"Permits & Filing Fees"""
Accumulated Amortization,TOTAL OTHER EXPENSE,TOTAL OTHER FINANCIAL COST
Interest Income,TOTAL OTHER INCOME,TOTAL OTHER INCOME
Royalties Payable,Total Other Expenses,TOTAL OTHER STAFF COST
Sales Adjustments,REVENUE,REVENUE
Chargebacks,REVENUE,REVENUE
Uncategorized Income,Uncategorized Income,Uncategorized Income
Permits,"License,Permits,Filing Fees",TOTAL OTHER STAFF COST
Electricity,OCCUPANCY,OCCUPANCY
Runner,Total Wages - F.O.H. Hourly,Total Wages - F.O.H. Hourly
1,TOTAL OTHER EXPENSES,TOTAL OTHER FINANCIAL COST
Linen & Laundry,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Credit Card Liabilities,Total Other Expenses,TOTAL OTHER STAFF COST
Wages - 1099 ( Cleaning),Total Wages - F.O.H. Wages,STAFF COST
MEP,Total Other Expense,TOTAL OTHER STAFF COST
Trash/Waste Removal Service,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Depreciation Expense,P & L Depreciation & Amortization,P & L Depreciation & Amortization
Audit Fees,PROFESSIONAL FEE,PROFESSIONAL FEE
Wages - F.O.H. Hourly - OT,Wages - F.O.H. Hourly - OT,STAFF COST
Cost of Sales - Wine,COST OF GOODS SOLD,COST OF GOODS SOLD
Penalties,FINANCIAL COST,FINANCIAL COST
Suspense Account,Total Uncategorized,Total Uncategorized
Professional Fees,PROFESSIONAL FEE,PROFESSIONAL FEE
Repairs - Equipment,REPAIRS & MAINTENANCE,REPAIRS & MAINTENANCE
Disability,Total Employer Benefits,STAFF COST
Barware,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Staff Training,OTHER STAFF COST,OTHER STAFF COST
Cost of Sales - Tea/Coffee,COST OF GOODS SOLD,COST OF GOODS SOLD
5,TOTAL OTHER STAFF COST,TOTAL OTHER STAFF COST
Wine Purchases,Total Cost of Sales - Wine,COST OF GOODS SOLD
Intangible Assets,Intangible Assets,Other Expenses
Food Purchases,Cost of Sales - Food,Cost of Sales - Food
Liquor Inventory,Cost of Sales - Liquor,Gross Profit - Liquor & Beer
Liquor Attorney,Cost of Sales - Liquor,Gross Profit - Liquor & Beer
General & Administrative,GENERAL & ADMINISTRATIVE,TOTAL OTHER STAFF COST
Construction Management,Total Operating Expenses,TOTAL OTHER STAFF COST
FOH,TOTAL STAFF COST,STAFF COST
Advertising/Promotion,ADVERTISING AND PROMOTION,REVENUE
Other Staff Costs,OTHER STAFF COST,OTHER STAFF COST
Internet/Email,TOTAL COMMUNICATION,TOTAL COMMUNICATION
6,TOTAL PRE OPENING EXPENSES,TOTAL PRE OPENING EXPENSES
Complimentary Cost,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Retail - Stock Adjustment,Total Cost of Sales - Retails,COST OF GOODS SOLD
Menus,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Intercompany-Tutto Mare,TOTAL REVENUE,TOTAL REVENUE
Non-GC Buildout,Leasehold Improvements,TOTAL OTHER STAFF COST
Security Deposit - Utilities,OCCUPANCY,OCCUPANCY
Medical,Total Employer Benefits,STAFF COST
Subscriptions,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Legal Attorney,Legal & Accounting,GENERAL & ADMINISTRATIVE
Accumulated Depreciation,TOTAL OTHER EXPENSE,TOTAL OTHER EXPENSE
Staff Meals,OTHER STAFF COST,OTHER STAFF COST
Wages - B.O.H. Hourly,Wages - B.O.H. Hourly,STAFF COST
Beer Purchases,Cost of Sales - Beer,Cost of Sales - Beer
Dental,Total Employer Benefits,STAFF COST
"Licenses, Permits & Filing Fees",OTHER FINANCIAL COST,OTHER FINANCIAL COST
Gift Certificates,Total Wages - B.O.H. Salaried,STAFF COST
Office,Office Supplies/Stationery,GENERAL & ADMINISTRATIVE
Airfare,TRAVEL & ENTERTAINMENT,TRAVEL & ENTERTAINMENT
Grocery Cost,TOTAL FOOD,TOTAL FOOD
Accounts Receivable,A/R Write Off,TOTAL OTHER STAFF COST
Revenue - Liquor,REVENUE,REVENUE
Audio/Visual,TOTAL OTHER EXPENSE,TOTAL OTHER EXPENSE
Cook,Total Wages - B.O.H. Hourly,Total Wages - B.O.H. Hourly
