LineItem,Parent,GrandParent
Wages - 1099,OTHER STAFF COST,OTHER STAFF COST
Wages - Security-1099,TOTAL WAGES - 1099,STAFF COST
Wages - Cash,Total Wages - F.O.H.,STAFF COST
Employee Benefits,OTHER STAFF COST,OTHER STAFF COST
Workers Compensation insurance,Employer Taxes,TOTAL EMPLOYEE BENEFITS
Staff Recruitment,OTHER STAFF COST,OTHER STAFF COST
Staff Training,OTHER STAFF COST,OTHER STAFF COST
Staff Uniforms,OTHER STAFF COST,OTHER STAFF COST
Staff Meals,OTHER STAFF COST,OTHER STAFF COST
Staff Welfare,OTHER STAFF COST,OTHER STAFF COST
Staff Accommodation/Relocation,OTHER STAFF COST,OTHER STAFF COST
Staff First Aid,OTHER STAFF COST,OTHER STAFF COST
Staff Insurance,OTHER STAFF COST,OTHER STAFF COST
Medical,Total Employer Benefits,STAFF COST
Dental,Total Employer Benefits,STAFF COST
Vision,Total Employer Benefits,STAFF COST
NYS Unemployment Insurance ?IAS,Employer Taxes,TOTAL EMPLOYEE BENEFITS
Advertising and Promotion,ADVERTISING AND PROMOTION,TOTAL SALES & MARKETING
Advertising,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Public Relations,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Branding & Design,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
R & D,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Event Expenses,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Commission Expense,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Subscriptions,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Photography Expense,Photography Expense,ADVERTISING / PROMOTION
Complimentary Cost,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Travel and Entertainment,Travel and Entertainment,General & Admin Expen
Airfare,TRAVEL & ENTERTAINMENT,TRAVEL & ENTERTAINMENT
Meals & Entertainment,TRAVEL & ENTERTAINMENT,TRAVEL & ENTERTAINMENT
Lodging,TRAVEL & ENTERTAINMENT,TRAVEL & ENTERTAINMENT
Taxi Charges & Local Travel,TRAVEL & ENTERTAINMENT,TRAVEL & ENTERTAINMENT
Auto Expense,TRAVEL & ENTERTAINMENT,TRAVEL & ENTERTAINMENT
Fuel Charges,Other Expenses,TOTAL OTHER EXPENSE
General and Administrative Exp.,GENERAL & ADMINISTRATIVE,GENERAL & ADMINISTRATIVE
Web Design & Maintenance,TRAVEL & ENTERTAINMENT,TRAVEL & ENTERTAINMENT
Valet Parking - Guest,TRAVEL & ENTERTAINMENT,TRAVEL & ENTERTAINMENT
Clearing and Freight charges,TRAVEL & ENTERTAINMENT,TRAVEL & ENTERTAINMENT
Telephone,COMMUNICATION,COMMUNICATION
Internet/Email,TOTAL COMMUNICATION,TOTAL COMMUNICATION
Sales Adjustments,REVENUE,REVENUE
Chargebacks,REVENUE,REVENUE
Extra/Short Receipts,REVENUE,REVENUE
Under/Over,Other Expenses,Other Expenses
Digital Sales-Adjustments,TOTAL SALES & MARKETING,TOTAL SALES & MARKETING
Supplies and Maintenance,SUPPLIES AND MAINTENANCE,SUPPLIES & MAINTENANCE
Linen & Laundry,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Cleaning Supplies,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Cleaning Contract Services,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Pest Control,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Trash/Waste Removal Service,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
BOH Supplies / accessories,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
FOH Supplies / accessories,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Paper Supplies,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Packaging supply,TOTAL SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Chinaware,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Flatware,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Glassware,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Barware,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Music,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
"Landscape, Flowers & Candles",SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Office Supplies/Stationery,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Menus,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
IT Cost,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Equipment Rental,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Repairs - Building,REPAIRS & MAINTENANCE,REPAIRS & MAINTENANCE
Repairs - Equipment,REPAIRS & MAINTENANCE,REPAIRS & MAINTENANCE
Repairs - General,REPAIRS & MAINTENANCE,REPAIRS & MAINTENANCE
Postage/Courier,COMMUNICATION,COMMUNICATION
Sundry Expenses,Other Expenses,TOTAL OTHER EXPENSE
Professional Fees,PROFESSIONAL FEE,PROFESSIONAL FEE
Legal Fees,PROFESSIONAL FEE,PROFESSIONAL FEE
Audit Fees,PROFESSIONAL FEE,PROFESSIONAL FEE
Tax Fees,PROFESSIONAL FEE,PROFESSIONAL FEE
Accounting Fees,PROFESSIONAL FEE,PROFESSIONAL FEE
Consulting fees,TOTAL OTHER STAFF COST,STAFF COST
Floor Manager,Total Wages - F.O.H. Salaried,Total Wages - F.O.H. Salaried
Other Financial Costs,TOTAL OTHER FINANCIAL COST,TOTAL OTHER FINANCIAL COST
Payroll Processing Charges,FINANCIAL COST,FINANCIAL COST
Credit Card Charges,FINANCIAL COST,FINANCIAL COST
Bank Charges,FINANCIAL COST,FINANCIAL COST
Donations,FINANCIAL COST,FINANCIAL COST
Royalties,FINANCIAL COST,FINANCIAL COST
Tangible Property Taxes,FINANCIAL COST,FINANCIAL COST
Penalties,FINANCIAL COST,FINANCIAL COST
"Licenses,Permits,and Filing Fee",Legal & Accounting,GENERAL & ADMINISTRATIVE
Sales and Use Tax,OTHER FINANCIAL COST,OTHER FINANCIAL COST
Insurance Expense,FINANCIAL COST,FINANCIAL COST
EPLI,STAFF INSURANCE,TOTAL EMPLOYEE BENEFITS
Occupancy Costs,OCCUPANCY,TOTAL OCCUPANCY
Rent,OCCUPANCY,OCCUPANCY
Percentage Rent,OCCUPANCY,OCCUPANCY
Real Estate Escalation Tax,OCCUPANCY,OCCUPANCY
Commercial Rent Tax,OCCUPANCY,OCCUPANCY
Electricity,OCCUPANCY,OCCUPANCY
Gas,OCCUPANCY,OCCUPANCY
Water,OCCUPANCY,OCCUPANCY
Storage Rent,OCCUPANCY,OCCUPANCY
Security and Alarm,OCCUPANCY,OCCUPANCY
CAM Charges,OCCUPANCY,OCCUPANCY
Uncategorized Expenses,FINANCIAL COST,FINANCIAL COST
Other Income,Other Income & Expenses,Other Income & Expenses
Interest Income,TOTAL OTHER INCOME,TOTAL OTHER INCOME
Uncategorized Income,Uncategorized Income,Uncategorized Income
Tips income wriiten off,Write Off Tips,TOTAL OTHER EXPENSE
Other Revenue/ Income,Other Income,TOTAL OTHER INCOME
PPP Loan Forgiven,Total Wages - F.O.H. Wages,STAFF COST
RRF,TOTAL REPAIRS & MAINTENANCE,TOTAL REPAIRS & MAINTENANCE
Tips Income Write Off,Write Off Tips,TOTAL OTHER EXPENSE
Estimates,TOTAL OTHER EXPENSE,TOTAL OTHER STAFF COST
Interest Expense,Other Expenses,Other Expenses
Interest Paid On Loans-1,INTEREST & OTHER EXPENSES,INTEREST & OTHER EXPENSES
Interest Paid on Loans,TOTAL FINANCIAL COST,FINANCIAL COST
Ask My Accountant,Ask My Accountant,Ask My Accountant
Guaranteed payment for Steven,Total Wages - F.O.H. Salaried,TOTAL WAGES - 1099
Bad Debts,FINANCIAL COST,FINANCIAL COST
Interest on Tax/Penalties,Interest on Tax/Penalties,G&A
Sales Orders,Total Wages - F.O.H. Wages,STAFF COST
Corporate Tax Expense,FINANCIAL COST,FINANCIAL COST
Net Wages Payable Adjustment,Total Wages - F.O.H. Hourly,TOTAL WAGES - 1099
Depreciation Expense,P & L Depreciation & Amortization,P & L Depreciation & Amortization
Leasehold,Leasehold,Other Expenses
F&F,Cost of Sales - Food,Cost of Sales - Food
Amortization Expense,P & L Depreciation & Amortization,P & L Depreciation & Amortization
Other Expenses,Other Expenses,Other Expenses
Exchange Differences,TOTAL OTHER EXPENSES,TOTAL OTHER EXPENSES
AR Charge Back,Other Charges - Other,Other Expenses
Tips Expenses Write Off,Write Off Tips,TOTAL OTHER EXPENSE
Short/Over,Total Wages - F.O.H. Hourly,TOTAL WAGES - 1099
Misc Expense,Other Expenses,TOTAL OTHER EXPENSE
Corporate Expense,GENERAL & ADMINISTRATIVE,TOTAL OTHER STAFF COST
