LineItem,Parent,GrandParent
Beer Purchases,Cost of Sales - Beer,Cost of Sales - Beer
Cost of Sales - Liquor,COST OF GOODS SOLD,COST OF GOODS SOLD
Collected by Steven for Rent,OCCUPANCY,OCCUPANCY
Postage/Courier,COMMUNICATION,COMMUNICATION
License & Permit,FINANCIAL COST,FINANCIAL COST
Cost of Sales - Wine,COST OF GOODS SOLD,COST OF GOODS SOLD
Staff Workman's Comp,OTHER STAFF COST,OTHER STAFF COST
Tea/Coffee - Stock Adjustment,Cost of Sales - Tea/Coffee,Cost of Sales - Tea/Coffee
Cost of Sales - Other Bev,COST OF GOODS SOLD,COST OF GOODS SOLD
Revenue - Wines,REVENUE,REVENUE
Cost of Sales - Liquor - Other,Total Cost of Sales - Liquor,COST OF GOODS SOLD
Used Tax on Comps,ADVERTISING/PROMOTION,ADVERTISING/PROMOTION
Cost of Sales - FOOD,Cost of Sales - Food,COST OF GOODS SOLD
Pest Control,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Other Bev - Stock Adjustment,COG Other Beverages,COST OF GOODS SOLD
Wages - Commission,STAFF COST,STAFF COST
Donations,FINANCIAL COST,FINANCIAL COST
Wine Purchases,Total Cost of Sales - Wine,COST OF GOODS SOLD
Cost of Sales - Beer - Other,Total Cost of Sales - Beer,COST OF GOODS SOLD
Royalties-Trademark Agreement,FINANCIAL COST,FINANCIAL COST
Ask My Accountant,Ask My Accountant,Ask My Accountant
Staff Insurance,OTHER STAFF COST,OTHER STAFF COST
P & L Depreciation,PL Depreciation & Amortization,PL Depreciation & Amortization
TOTAL TRAVEL & ENTERTAINMENT,TOTAL TRAVEL & ENTERTAINMENT,TOTAL TRAVEL & ENTERTAINMENT
Revenue - Other Beverages,TOTAL REVENUE,REVENUE
Trash/Waste Removal Service,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
TOTAL COMMUNICATION,TOTAL COMMUNICATION,TOTAL COMMUNICATION
Cleaning,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
BOH Supplies / accessories,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Photography expense,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
EBITDA,EBITDA,EBITDA
Cost of Sales - Wine - Other,Total Cost of Sales - Wine,COST OF GOODS SOLD
Written Off,Written Off,Written Off
Other Charges,Other Charges,Other Charges
Shipping Charges,TRAVEL & ENTERTAINMENT,TRAVEL & ENTERTAINMENT
Employer Taxes,Employer Taxes,STAFF COST
Security Services,OCCUPANCY,OCCUPANCY
Wages - Bonus,STAFF COST,STAFF COST
Staff Welfare,OTHER STAFF COST,OTHER STAFF COST
Repairs - Building,REPAIRS & MAINTENANCE,REPAIRS & MAINTENANCE
TOTAL BEVERAGES,TOTAL BEVERAGES,COST OF GOODS SOLD
Electricity,OCCUPANCY,OCCUPANCY
Gross Profit - Other Bev,Gross Profit - Other Bev,Gross Profit - Other Bev
Professional Fees,PROFESSIONAL FEE,PROFESSIONAL FEE
Staff Accommodation,OTHER STAFF COST,OTHER STAFF COST
NET PROFIT/(LOSS),NET PROFIT/(LOSS),NET PROFIT/(LOSS)
Other Bev Purchases,COG Other Beverages,COST OF GOODS SOLD
Lodging,TRAVEL & ENTERTAINMENT,TRAVEL & ENTERTAINMENT
Storage Rent,OCCUPANCY,OCCUPANCY
Interest on Loans,Interest on Loans,Interest on Loans
Landlord Settle. for Key Money,OCCUPANCY,OCCUPANCY
Equipment Rental,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Office Supplies,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Transport – Charges,TRAVEL & ENTERTAINMENT,TRAVEL & ENTERTAINMENT
Wages - B.O.H. Salaries,STAFF COST,STAFF COST
Accountancy Charges,FINANCIAL COST,FINANCIAL COST
Steven's Personal Expense,OTHER STAFF COST,OTHER STAFF COST
PROFIT BEFORE TAX & DEPRECIATION,PROFIT BEFORE TAX & DEPRECIATION,PROFIT BEFORE TAX & DEPRECIATION
TOTAL REVENUE,TOTAL REVENUE,REVENUE
Gross Profit - Tea/Coffee,Gross Profit - Tea/Coffee,Gross Profit - Tea/Coffee
Cost of Sales - Other Bev - Other,Total Cost of Sales - Other Beverages,COST OF GOODS SOLD
Staff Training,OTHER STAFF COST,OTHER STAFF COST
Staff Recruitment,OTHER STAFF COST,OTHER STAFF COST
Penalties,FINANCIAL COST,FINANCIAL COST
Cost of Sales - Beer,COST OF GOODS SOLD,COST OF GOODS SOLD
Rent,OCCUPANCY,OCCUPANCY
Legal Fees,PROFESSIONAL FEE,PROFESSIONAL FEE
Bank Charges,FINANCIAL COST,FINANCIAL COST
Packing supply,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Cost of Sales - Tea/Coffee,COST OF GOODS SOLD,COST OF GOODS SOLD
TOTAL OPERATING EXPENSES,TOTAL OPERATING EXPENSES,TOTAL OPERATING EXPENSES
Bad Debts,FINANCIAL COST,FINANCIAL COST
TOTAL ADVERTISING/PROMOTION,TOTAL ADVERTISING/PROMOTION,ADVERTISING / PROMOTION
Tea/Coffee Purchases,Cost of Sales - Tea/Coffee,Cost of Sales - Tea/Coffee
CAM Charges,OCCUPANCY,OCCUPANCY
Credit Card Charges,FINANCIAL COST,FINANCIAL COST
Gross Profit - Liquor,Gross Profit - Liquor,Gross Profit - Liquor
TOTAL SUPPLIES & MAINTENANCE,TOTAL SUPPLIES & MAINTENANCE,TOTAL SUPPLIES & MAINTENANCE
Gross Profit - Food,Gross Profit - Food,Gross Profit - Food
Telephone,COMMUNICATION,COMMUNICATION
Cost of Sales - FOOD,Total Cost of Sales - Food,COST OF GOODS SOLD
Linen & Laundry,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
TOTAL FINANCIAL COST,TOTAL FINANCIAL COST,TOTAL FINANCIAL COST
Liquor Purchases,COG Liquor,COST OF GOODS SOLD
Food Purchases,Cost of Sales - Food,Cost of Sales - Food
Real Estate Escalation Tax,OCCUPANCY,OCCUPANCY
Repairs - General,REPAIRS & MAINTENANCE,REPAIRS & MAINTENANCE
Staff Uniforms,OTHER STAFF COST,OTHER STAFF COST
Tax Fees,PROFESSIONAL FEE,PROFESSIONAL FEE
Complimentary Cost,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Wages - Others,STAFF COST,STAFF COST
Subscriptions,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
PL Depreciation & Amortization,PL Depreciation & Amortization,PL Depreciation & Amortization
Barware,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Commission Expense,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
FOH Supplies / accessories,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Revenue - Retails,REVENUE,REVENUE
Revenue - Food,REVENUE,REVENUE
Cost of Sales - Food - Other,Cost of Sales - Food - Other,COST OF GOODS SOLD
Payroll Charges,FINANCIAL COST,FINANCIAL COST
Public Relations,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
OTHER INCOME & EXPENSES,Other Income & Expenses,OTHER INCOME & EXPENSES
Flowers & Candles,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Wine - Stock Adjustment,Cost of Sales - Wines,Cost of Sales - Wines
IT Cost,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Beer - Stock Adjustment,Cost of Sales - Beer,Cost of Sales - Beer
Cleaning Contract Services,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Menus,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Fees / Commisions,FINANCIAL COST,FINANCIAL COST
TOTAL COST OF GOODS SOLD,TOTAL COST OF GOODS SOLD,TOTAL COST OF GOODS SOLD
Food - Stock Adjustment,Cost of Sales - Food,Cost of Sales - Food
Interest on Tax / Penalties,FINANCIAL COST,FINANCIAL COST
Paper Supplies,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
TOTAL OCCUPANCY,TOTAL OCCUPANCY,TOTAL OCCUPANCY
OTHER INCOME & EXPENSES,OTHER INCOME & EXPENSES,OTHER INCOME & EXPENSES
TOTAL STAFF COST,TOTAL STAFF COST,TOTAL STAFF COST
Monitoring charges,OCCUPANCY,OCCUPANCY
Accountancy Charges,FINANCIAL COST,FINANCIAL COST
Airfare,TRAVEL & ENTERTAINMENT,TRAVEL & ENTERTAINMENT
Ask My Accountant,Ask My Accountant,Ask My Accountant
Bad Debts,FINANCIAL COST,FINANCIAL COST
Bank Interest,Bank Interest,Bank Interest
CAM Charges,OCCUPANCY,OCCUPANCY
Cash - Wages,STAFF COST,STAFF COST
Charge Back - Covid,FINANCIAL COST,FINANCIAL COST
Cleaning,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Collected by Steven for Rent,OCCUPANCY,OCCUPANCY
Commission Expense,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Complimentary Cost,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Complimentary Cost,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Cost of Sales - Beer - Other,Total Cost of Sales - Beer,COST OF GOODS SOLD
Cost of Sales - Food - Other,Cost of Sales - Food - Other,COST OF GOODS SOLD
Cost of Sales - Liquor - Other,Total Cost of Sales - Liquor,COST OF GOODS SOLD
Cost of Sales - Other Bev - Other,Total Cost of Sales - Other Beverages,COST OF GOODS SOLD
Cost of Sales - Tea/Coffee - Other,Total Cost of Sales - Tea/Coffee,COST OF GOODS SOLD
Cost of Sales - Wine - Other,Total Cost of Sales - Wine,COST OF GOODS SOLD
Credit Card Charges,FINANCIAL COST,FINANCIAL COST
Donations,FINANCIAL COST,FINANCIAL COST
Electricity,OCCUPANCY,OCCUPANCY
Employer Taxes,Employer Taxes,STAFF COST
Employer Taxes,Employer Taxes,STAFF COST
Employer Taxes,Employer Taxes,STAFF COST
Entertainment Meals,ADVERTISING/PROMOTION,ADVERTISING/PROMOTION
Event Expenses,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Fees / Commisions,FINANCIAL COST,FINANCIAL COST
Flatware,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Flowers & Candles,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
FOH Supplies / accessories,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Food - Stock Adjustment,Cost of Sales - Food,Cost of Sales - Food
Food Purchases,Cost of Sales - Food,Cost of Sales - Food
Gas,OCCUPANCY,OCCUPANCY
Glassware,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Insurance,OCCUPANCY,OCCUPANCY
Interest on Loans,Interest on Loans,Interest on Loans
Interest on Tax / Penalties,FINANCIAL COST,FINANCIAL COST
Internet/Email,TOTAL COMMUNICATION,TOTAL COMMUNICATION
IT Cost,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Landlord Settle. for Key Money,OCCUPANCY,OCCUPANCY
Legal Fees,PROFESSIONAL FEE,PROFESSIONAL FEE
Music,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Non-Revenue Service Charge,REVENUE,REVENUE
NYC LLC FILLING FEES,FINANCIAL COST,FINANCIAL COST
Office Supplies,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Other Bev - Stock Adjustment,COG Other Beverages,COST OF GOODS SOLD
Other Charges,Other Charges,Other Charges
Other Charges,Other Charges,Other Charges
Other Income,Other Income & Expenses,Other Income & Expenses
P & L Amortization,PL Depreciation & Amortization,PL Depreciation & Amortization
P & L Depreciation,PL Depreciation & Amortization,PL Depreciation & Amortization
Packing supply,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Paper Supplies,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Payroll Charges,FINANCIAL COST,FINANCIAL COST
Penalties,FINANCIAL COST,FINANCIAL COST
Pest Control,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Photography expense,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Postage/Courier,COMMUNICATION,COMMUNICATION
Professional Fees,PROFESSIONAL FEE,PROFESSIONAL FEE
Public Relations,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Real Estate Escalation Tax,OCCUPANCY,OCCUPANCY
Rent,OCCUPANCY,OCCUPANCY
Repairs - Building,REPAIRS & MAINTENANCE,REPAIRS & MAINTENANCE
Repairs - General,REPAIRS & MAINTENANCE,REPAIRS & MAINTENANCE
Revenue - Food,REVENUE,REVENUE
Revenue - Liquor,REVENUE,REVENUE
Revenue - Other Beverages,TOTAL REVENUE,REVENUE
Revenue - Retails,REVENUE,REVENUE
Revenue - Tea/Coffee,REVENUE,REVENUE
Revenue - Wines,REVENUE,REVENUE
Royalties-Trademark Agreement,FINANCIAL COST,FINANCIAL COST
Security Services,OCCUPANCY,OCCUPANCY
Shipping Charges,TRAVEL & ENTERTAINMENT,TRAVEL & ENTERTAINMENT
Staff Accommodation,OTHER STAFF COST,OTHER STAFF COST
Staff First Aid,OTHER STAFF COST,OTHER STAFF COST
Staff Insurance,OTHER STAFF COST,OTHER STAFF COST
Staff Insurance,OTHER STAFF COST,OTHER STAFF COST
Staff Meals,OTHER STAFF COST,OTHER STAFF COST
Staff Recruitment,OTHER STAFF COST,OTHER STAFF COST
Staff Training,OTHER STAFF COST,OTHER STAFF COST
Storage Rent,OCCUPANCY,OCCUPANCY
Subscriptions,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Tax Fees,PROFESSIONAL FEE,PROFESSIONAL FEE
Tea/Coffee - Stock Adjustment,Cost of Sales - Tea/Coffee,Cost of Sales - Tea/Coffee
Tea/Coffee Purchases,Cost of Sales - Tea/Coffee,Cost of Sales - Tea/Coffee
Telephone,COMMUNICATION,COMMUNICATION
Wages - B.O.H. Salaries,STAFF COST,STAFF COST
Wages - B.O.H. Salaries,STAFF COST,STAFF COST
Wages - B.O.H. Salaries,STAFF COST,STAFF COST
Wages - B.O.H. Salaries,STAFF COST,STAFF COST
Wages - B.O.H. Salaries,STAFF COST,STAFF COST
Wages - B.O.H. Salaries,STAFF COST,STAFF COST
Wages - B.O.H. Salaries,STAFF COST,STAFF COST
Wages - B.O.H. Salaries,STAFF COST,STAFF COST
Wages - Bonus,STAFF COST,STAFF COST
Wages - Commission,STAFF COST,STAFF COST
Wages – Contractor,STAFF COST,STAFF COST
Wages - F.O.H. Salaries,STAFF COST,STAFF COST
Wages - F.O.H. Salaries,STAFF COST,STAFF COST
Wages - F.O.H. Salaries,STAFF COST,STAFF COST
Wages - F.O.H. Salaries,STAFF COST,STAFF COST
Wages - Others,STAFF COST,STAFF COST
Water,OCCUPANCY,OCCUPANCY
Web Design,ADVERTISING/PROMOTION,ADVERTISING/PROMOTION
Wine - Stock Adjustment,Cost of Sales - Wines,Cost of Sales - Wines
Wine Purchases,Total Cost of Sales - Wine,COST OF GOODS SOLD
Written Off,Written Off,Written Off
Cost of Sales - Beer,COST OF GOODS SOLD,COST OF GOODS SOLD
Cost of Sales - FOOD,Total Cost of Sales - Food,COST OF GOODS SOLD
Cost of Sales - Wine,COST OF GOODS SOLD,COST OF GOODS SOLD
EBITDA,EBITDA,EBITDA
Employer Taxes,Employer Taxes,STAFF COST
GROSS PROFIT,GROSS PROFIT,GROSS PROFIT
Gross Profit - Food,Gross Profit - Food,Gross Profit - Food
Gross Profit - Liquor,Gross Profit - Liquor,Gross Profit - Liquor
PL Depreciation & Amortization,PL Depreciation & Amortization,PL Depreciation & Amortization
PROFIT BEFORE TAX & DEPRECIATION,PROFIT BEFORE TAX & DEPRECIATION,PROFIT BEFORE TAX & DEPRECIATION
TOTAL ADVERTISING/PROMOTION,TOTAL ADVERTISING/PROMOTION,ADVERTISING / PROMOTION
TOTAL BEVERAGES,TOTAL BEVERAGES,COST OF GOODS SOLD
TOTAL COMMUNICATION,TOTAL COMMUNICATION,TOTAL COMMUNICATION
TOTAL COST OF GOODS SOLD,TOTAL COST OF GOODS SOLD,TOTAL COST OF GOODS SOLD
TOTAL FINANCIAL COST,TOTAL FINANCIAL COST,TOTAL FINANCIAL COST
TOTAL OCCUPANCY,TOTAL OCCUPANCY,TOTAL OCCUPANCY
TOTAL OPERATING EXPENSES,TOTAL OPERATING EXPENSES,TOTAL OPERATING EXPENSES
TOTAL OTHER STAFF COST,TOTAL OTHER STAFF COST,TOTAL OTHER STAFF COST
TOTAL REPAIR & MAINTENANCE,TOTAL REPAIRS & MAINTENANCE,REPAIRS & MAINTENANCE
TOTAL STAFF COST,TOTAL STAFF COST,TOTAL STAFF COST
TOTAL SUPPLIES & MAINTENANCE,TOTAL SUPPLIES & MAINTENANCE,TOTAL SUPPLIES & MAINTENANCE
TOTAL TRAVEL & ENTERTAINMENT,TOTAL TRAVEL & ENTERTAINMENT,TOTAL TRAVEL & ENTERTAINMENT
Wages - F.O.H. Salaries,STAFF COST,STAFF COST
